魚種,出沒月份,出沒時間,售價,圖片網址
帝王鮭,9,全天,1800,https://kkplay3c.net/Gina/game/animal/table/帝王鮭.png
白斑狗魚,9~12,全天,1800,https://kkplay3c.net/Gina/game/animal/table/白斑狗魚.png
裸胸鱔,8~10,全天,2000,https://kkplay3c.net/Gina/game/animal/table/裸胸鱔.png
中華絨螯蟹,9~11,16~9,2000,https://kkplay3c.net/Gina/game/animal/table/中華絨螯蟹.png
燈籠魚,11~3,16~9,2500,https://kkplay3c.net/Gina/game/animal/table/燈籠魚.png
鬥魚,5~10,9~16,2500,https://kkplay3c.net/Gina/game/animal/table/鬥魚.png
食人魚,6~9,9~16 21~4,2500,https://kkplay3c.net/Gina/game/animal/table/食人魚.png
鯛魚,全年,全天,3000,https://kkplay3c.net/Gina/game/animal/table/鯛魚.png
魟魚/鳐鱼,8~11,4~21,3000,https://kkplay3c.net/Gina/game/animal/table/魟魚.png
神仙魚,5~10,16~9,3000,https://kkplay3c.net/Gina/game/animal/table/神仙魚.png
鱉,8~9,16~9,3750,https://kkplay3c.net/Gina/game/animal/table/鱉.png
花羔紅點鮭,3~6 9~11,16~9,3800,https://kkplay3c.net/Gina/game/animal/table/花羔紅點鮭.png
翻車魚,7~9,4~21,4000,https://kkplay3c.net/Gina/game/animal/table/翻車魚.png
錦鯉,全年,16~9,4000,https://kkplay3c.net/Gina/game/animal/table/錦鯉.png
恩氏多鰭魚,6~9,21~4,4000,https://kkplay3c.net/Gina/game/animal/table/恩氏多鰭魚.png
蘭壽金魚,全年,9~16,4500,https://kkplay3c.net/Gina/game/animal/table/蘭壽金魚.png
浪人鯵/ 人白面弄魚,5~10,全天,4500,https://kkplay3c.net/Gina/game/animal/table/浪人鯵.png
河豚,11~2,21~4,5000,https://kkplay3c.net/Gina/game/animal/table/河豚.png
條石鯛,3~11,全天,5000,https://kkplay3c.net/Gina/game/animal/table/條石鯛.png
擬鱷龜,4~10,21~4,5000,https://kkplay3c.net/Gina/game/animal/table/擬鱷龜.png
鱧魚(黑魚),6~8,9~16,5500,https://kkplay3c.net/Gina/game/animal/table/鱧魚.png
雀鱔,6~9,16~9,6000,https://kkplay3c.net/Gina/game/animal/table/雀鱔.png
鬼頭刀,5~10,全天,6000,https://kkplay3c.net/Gina/game/animal/table/鬼頭刀.png
鮪魚,11~4,全天,7000,https://kkplay3c.net/Gina/game/animal/table/鮪魚.png
雙髻鯊,6~9,16~9,8000,https://kkplay3c.net/Gina/game/animal/table/雙髻鯊.png
皇帶魚,12~5,全天,9000,https://kkplay3c.net/Gina/game/animal/table/皇帶魚.png
蘇眉魚,7~8,4~21,10000,https://kkplay3c.net/Gina/game/animal/table/蘇眉魚.png
鱘魚,9~3,全天,10000,https://kkplay3c.net/Gina/game/animal/table/鱘魚.png
骨舌魚,6~9,16~9,10000,https://kkplay3c.net/Gina/game/animal/table/骨舌魚.png
巨骨舌魚,6~9,16~9,10000,https://kkplay3c.net/Gina/game/animal/table/巨骨舌魚.png
旗魚,7~9 11~4,全天,10000,https://kkplay3c.net/Gina/game/animal/table/旗魚.png
鋸鯊,6~9,16~9,12000,https://kkplay3c.net/Gina/game/animal/table/鋸鯊.png
鯨鯊,6~9,全天,13000,https://kkplay3c.net/Gina/game/animal/table/鯨鯊.png
鯊魚,6~9,16~9,15000,https://kkplay3c.net/Gina/game/animal/table/鯊魚.png
太平洋桶眼魚,全年,21~4,15000,https://kkplay3c.net/Gina/game/animal/table/太平洋桶眼魚.png
矛尾魚,全年,全天 (雨天限定),15000,https://kkplay3c.net/Gina/game/animal/table/矛尾魚.png
黃金河虎,6~9,4~21,15000,https://kkplay3c.net/Gina/game/animal/table/黃金河虎.png
遠東哲羅魚,12~3,16~9,15000,https://kkplay3c.net/Gina/game/animal/table/遠東哲羅魚.png
金鱒,3~5 9~11,16~9,15000,https://kkplay3c.net/Gina/game/animal/table/金鱒.png
