昆蟲生物,出現位置,出沒月份,出沒時間,售價,圖片網址
綠胸晏蜓,水邊,4~10,8~17,230,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%B6%A0%E8%83%B8%E6%99%8F%E8%9C%93.png
無霸勾蜓,水邊,4~11,8~17,4500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%84%A1%E9%9C%B8%E5%8B%BE%E8%9C%93.png
豆娘,水邊,5~8,全天,500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%B1%86%E5%A8%98.png
螢火蟲,淡水 附近,12,19~4,300,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9E%A2%E7%81%AB%E8%9F%B2.png
螻蛄,地面下,5~11,全天,500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9E%BB%E8%9B%84.png
水黽,池塘,3~11,8~19,130,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%B0%B4%E9%BB%BD.png
龍蝨,河流 池塘,3~11,8~19,800,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%BE%8D%E8%9D%A8.png
田鱉,河流 池塘,3~10,19~8,2000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%94%B0%E9%B1%89.png
椿象,花朵上 會逃走,4~9,全天,120,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%A4%BF%E8%B1%A1.png
人面椿象,花朵上 會逃走,4~10,19~8,1000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E4%BA%BA%E9%9D%A2%E6%A4%BF%E8%B1%A1.png
瓢蟲,花朵上 會逃走,4 9~12,8~17,200,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%93%A2%E8%9F%B2.png
虎甲蟲,草地,4~8,全天,1500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%99%8E%E7%94%B2%E8%9F%B2.png
吉丁蟲,樹樁,2~10,全天,2400,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%90%89%E4%B8%81%E8%9F%B2.png
提琴蟲,樹樁,11~12 3~5,全天,450,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%8F%90%E7%90%B4%E8%9F%B2.png
星天牛,樹樁,全年,全天,350,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%98%9F%E5%A4%A9%E7%89%9B.png
琉璃 星天牛,樹樁,3~11,全天,3000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%90%89%E7%92%83%E6%98%9F%E5%A4%A9%E7%89%9B.png
寶石 象鼻蟲,樹幹,1~2,全天,800,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%AF%B6%E7%9F%B3%E8%B1%A1%E9%BC%BB%E8%9F%B2.png
蜣螂,雪球 附近,6~8,全天,3000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9C%A3%E8%9E%82.png
雪隱金龜,草地,1~3,全天,300,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%9B%AA%E9%9A%B1%E9%87%91%E9%BE%9C.png
寶石金龜,樹幹,1~2,23~8,10000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%AF%B6%E7%9F%B3%E9%87%91%E9%BE%9C.png
日銅鑼 花金龜,樹幹,1~3,全天,200,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%97%A5%E9%8A%85%E9%91%BC%E8%8A%B1%E9%87%91%E9%BE%9C.png
歌利亞 大角花金龜,椰子樹 樹幹,3~12,17~8,8000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%AD%8C%E5%88%A9%E4%BA%9E%E5%A4%A7%E8%A7%92%E8%8A%B1%E9%87%91%E9%BE%9C.png
鋸鍬形蟲,樹幹,1~2,全天,2000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%8B%B8%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
深山鍬形蟲,樹幹,1~2,全天,1000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%B7%B1%E5%B1%B1%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
大鍬形蟲,樹幹,1~2,23~8,10000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%A4%A7%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
彩虹 鍬形蟲,樹幹,3~12,19~8,6000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%BD%A9%E8%99%B9%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
細身赤 鍬形蟲,椰子樹 樹幹,1~2,17~8,8000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%B4%B0%E8%BA%AB%E8%B5%A4%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
黃金鬼 鍬形蟲,椰子樹 樹幹,1~2,17~8,12000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%BB%83%E9%87%91%E9%AC%BC%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
長頸鹿 鋸鍬形蟲,樹幹,1~2,17~8,12000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%95%B7%E9%A0%B8%E9%B9%BF%E9%8B%B8%E9%8D%AC%E5%BD%A2%E8%9F%B2.png
獨角仙,樹幹,1~2,17~8,1350,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%8D%A8%E8%A7%92%E4%BB%99.png
高卡薩斯 南洋大兜蟲,椰子樹 樹幹,1~2,17~8,8000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%AB%98%E5%8D%A1%E8%96%A9%E6%96%AF%E5%8D%97%E6%B4%8B%E5%A4%A7%E5%85%9C%E8%9F%B2.png
象兜蟲,椰子樹 樹幹,1~2,17~8,8000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%B1%A1%E5%85%9C%E8%9F%B2.png
長戟 大兜蟲,椰子樹 樹幹,1~2,17~8,12000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%95%B7%E6%88%9F%E5%A4%A7%E5%85%9C%E8%9F%B2.png
竹節蟲,樹幹,1~5,4~8 17~19,600,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%AB%B9%E7%AF%80%E8%9F%B2.png
葉竹節蟲,樹下 偽裝成 樹葉,1~3,全天,600,https://i0.wp.com/kkplay3c.net/wp-content/uploads//Gina/game/animal/table/%E8%91%89%E7%AB%B9%E7%AF%80%E8%9F%B2.png
蓑衣蟲,樹幹,全年,全天,600,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%93%91%E8%A1%A3%E8%9F%B2.png
螞蟻,地面,全年,全天,80,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9E%9E%E8%9F%BB.png
寄居蟹,沙灘,全年,19~8,1000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%AF%84%E5%B1%85%E8%9F%B9.png
海蟑螂,沙灘,全年,全天,200,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%B5%B7%E8%9F%91%E8%9E%82.png
蒼蠅,腐爛的 大頭菜 、垃圾,全年,全天,60,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%92%BC%E8%A0%85.png
蚊子,隨機,3~12,17~4,130,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9A%8A%E5%AD%90.png
跳蚤,居民 身上,5~9,全天,70,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%B7%B3%E8%9A%A4.png
蝸牛,岩石 灌木上,全年,全天,250,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9D%B8%E7%89%9B.png
鼠婦,岩石 {敲擊},3~12,23~16,250,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%BC%A0%E5%A9%A6.png
蜈蚣,岩石 {敲擊},3~12,16~23,300,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9C%88%E8%9A%A3.png
蜘蛛,樹幹 {搖晃},全年,19~8,600,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9C%98%E8%9B%9B.png
狼蛛,草地、地面 會主動攻擊,5~10,19~4,8000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%8B%BC%E8%9B%9B.png
蠍子,草地、地面 會主動攻擊,4~11,19~4,8000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%A0%8D%E5%AD%90.png
